Name,Subscriber,View,Debut,Group,channel_name,channel_id
Gawr Gura,"4,300,000","337,734,765",2020/09/13,hololive,Gawr Gura Ch. hololive-EN,UCoSrY_IQQVpmIRZ9Xf-y93g
Kizuna AI,"3,050,000","449,371,907",2016/11/29,Kizuna AI Inc.,A.I.Channel,UC4YaOt1yT-ZeyB0OmxHgolA
Houshou Marine,"2,340,000","507,387,643",2019/08/11,hololive,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg
Mori Calliope,"2,210,000","426,185,052",2020/09/12,hololive,Mori Calliope Ch. hololive-EN,UCL_qhgtOy0dy1Agp8vkySQg
Usada Pekora,"2,190,000","521,922,277",2019/07/17,hololive,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ
Shirakami Fubuki,"2,090,000","373,629,223",2018/06/01,hololive,フブキCh。白上フブキ,UCdn5BQ06XqgXoAxIhbqw5Rg
Inugami Korone,"1,950,000","264,574,163",2019/04/13,hololive,Korone Ch. 戌神ころね,UChAnqc_AY5_I3Px5dig3X1Q
Kobo Kanaeru,"1,930,000","86,255,422",2022/03/27,hololive,Kobo Kanaeru Ch. hololive-ID,UCjLEmnpCNeisMxy134KPwWw
Hoshimachi Suisei,"1,820,000","498,390,393",2018/03/22,hololive,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A
Minato Aqua,"1,770,000","277,719,875",2018/08/08,hololive,Aqua Ch. 湊あくあ,UC1opHUrw8rvnsadT-iGp7Cg
Hyakumantenbara Salome,"1,740,000","133,275,507",2022/05/24,NIJISANJI,Hyakumantenbara Salome,UCgIfLpQvelloDi8I0Ycbwpg
Watson Amelia,"1,730,000","153,001,571",2020/09/13,hololive,Watson Amelia Ch. hololive-EN,UCyl1z3jo3XHR1riLFKG5UAg
filian,"1,710,000","558,011,591",2021/07/21,Independent,filian,UCvjNdLLy5sinqD92Axk8w-g
Sakura Miko,"1,710,000","314,034,582",2018/08/01,hololive,Miko Ch. さくらみこ,UC-hM6YJuNYVAmUWxeIr9FeA
Shirogane Noel,"1,650,000","202,536,140",2019/08/08,hololive,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ
Nekomata Okayu,"1,580,000","285,534,543",2019/04/06,hololive,Okayu Ch. 猫又おかゆ,UCvaTdHTWBGv3MKj3KVqJVCw
Ninomae Ina’nis,"1,510,000","120,062,408",2020/09/13,hololive,Ninomae Ina'nis Ch. hololive-EN,UCMwGHR0BTZuLsmjY_NT5Pwg
Kuzuha,"1,500,000","594,199,695",2018/03/08,NIJISANJI,Kuzuha Channel,UCSFCh5NL4qXrAy9u-u2lX3g
Oozora Subaru,"1,470,000","243,777,643",2018/09/16,hololive,Subaru Ch. 大空スバル,UCvzGlP9oQwU--Y0r9id_jnA
Takanashi Kiara,"1,450,000","172,909,302",2020/09/12,hololive,Takanashi Kiara Ch. hololive-EN,UCHsx4Hqa-1ORjQTh9TYDhww
Nyatasha Nyanners,"1,440,000","176,535,007",2020/07/17,VShojo,Nyanners,UCO5Jvsc_sKuZi3MhnJxrlzQ
Akai Haato,"1,420,000","197,322,973",2018/06/02,hololive,HAACHAMA Ch 赤井はあと,UC1CfXB_kRs3C-zaeTG3oGyg
Kiryu Coco,"1,420,000","183,756,331",2020/08/15,hololive,Coco Ch. 桐生ココ,UCS9uQI-jC3DE0L4IpXyvr6w
Nakiri Ayame,"1,380,000","100,967,642",2018/09/03,hololive,Nakiri Ayame Ch. 百鬼あやめ,UC7fk0CB07ly8oSl0aqKkqFg
Tsunomaki Watame,"1,350,000","266,656,681",2019/12/29,hololive,Watame Ch. 角巻わため,UCqm3BQLlJfvkTsX_hvm0UmA
Amane Kanata,"1,340,000","267,936,761",2019/12/27,hololive,Kanata Ch. 天音かなた,UCZlDXzGoo7d44bwdNObFacg
Natsuiro Matsuri,"1,340,000","142,810,037",2018/06/01,hololive,Matsuri Channel 夏色まつり,UCQ0UDLQCjY0rmuxCDE38FGg
Shishiro Botan,"1,310,000","167,386,816",2020/08/14,hololive,Botan Ch.獅白ぼたん,UCUKD-uaobj9jiqB-VXt71mA
Moona Hoshinova,"1,280,000","92,195,842",2020/04/11,hololive,Moona Hoshinova hololive-ID,UCP0BspO_AMEe3aQqqpo89Dg
Vox Akuma,"1,280,000","81,979,187",2021/12/20,NIJISANJI,Vox Akuma【NIJISANJI EN】,UCckdfYDGrjojJM28n5SHYrA
Kson,"1,250,000","71,129,528",2016/05/01,VShojo,kson ONAIR,UC9ruVYPv7yJmV0Rh0NKA-Lw
Kureiji Ollie,"1,250,000","66,637,849",2020/12/04,hololive,Kureiji Ollie Ch. hololive-ID,UCYz_5n-uDuChHtLo7My1HnQ
senzawa,"1,230,000","122,492,341",2016/07/30,Independent,senzawa,UCTUHzVzRwN_2x13IWQ9QVNg
Tokoyami Towa,"1,220,000","180,328,224",2020/01/03,hololive,Towa Ch. 常闇トワ,UC1uv2Oq6kNxgATlCiez59hw
Shxtou,"1,170,000","76,027,674",2021/10/02,Independent,Shoto,UCgwJ4ReZqFOw_Y6eTEIunDQ
Kanae,"1,150,000","387,262,965",2018/05/02,NIJISANJI,Kanae Channel,UCspv01oxUFf_MTSipURRhkA
