chan_name,subs,views,total_vid,channel_id,Name,Debut,Group,views_per_video
Takanashi Kiara Ch. hololive-EN,1450000,173215959,813,UCHsx4Hqa-1ORjQTh9TYDhww,Takanashi Kiara,2020/09/12,hololive,213057.76014760148
Suisei Channel,1830000,500833328,644,UC5CwaMl1eIgY8h02uZw7u8A,Hoshimachi Suisei,2018/03/22,hololive,777691.5031055901
HAACHAMA Ch 赤井はあと,1420000,197365321,1064,UC1CfXB_kRs3C-zaeTG3oGyg,Akai Haato,2018/06/02,hololive,185493.72274436092
Kureiji Ollie Ch. hololive-ID,1260000,66843296,833,UCYz_5n-uDuChHtLo7My1HnQ,Kureiji Ollie,2020/12/04,hololive,80244.05282112845
Kobo Kanaeru Ch. hololive-ID,1940000,87226641,283,UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,2022/03/27,hololive,308221.34628975263
Watson Amelia Ch. hololive-EN,1740000,153088524,775,UCyl1z3jo3XHR1riLFKG5UAg,Watson Amelia,2020/09/13,hololive,197533.5793548387
Lamy Ch. 雪花ラミィ,1110000,170655705,902,UCFKOVgVbGmX65RxO3EtH3iw,Yukihana Lamy,2020/08/12,hololive,189197.01219512196
Mio Channel 大神ミオ,1080000,136278910,774,UCp-5t9SrOQwXMU7iIjQfARg,Ookami Mio,2018/12/07,hololive,176070.94315245477
月ノ美兎,1070000,311721441,769,UCD-miitqNY3nyukJ4Fnf4_A,Tsukino Mito,2018/02/08,NIJISANJI,405359.4811443433
Kanata Ch. 天音かなた,1340000,268501318,1178,UCZlDXzGoo7d44bwdNObFacg,Amane Kanata,2019/12/27,hololive,227929.8115449915
Marine Ch. 宝鐘マリン,2350000,509206324,945,UCCzUftO8KOVkV4wQG1vkUvg,Houshou Marine,2019/08/11,hololive,538842.6708994709
Flare Ch. 不知火フレア,972000,135007483,1127,UCvInZx9h3jC2JzsIzoOebWg,Shiranui Flare,2019/08/07,hololive,119793.68500443656
Pekora Ch. 兎田ぺこら,2190000,523226503,1280,UC1DCedRgGHBdm81E1llLhOQ,Usada Pekora,2019/07/17,hololive,408770.70546875
Noel Ch. 白銀ノエル,1650000,202911031,868,UCdyqAaZDKHXg4Ahi7VENThQ,Shirogane Noel,2019/08/08,hololive,233768.46889400922
Kuzuha Channel,1500000,595854076,1454,UCSFCh5NL4qXrAy9u-u2lX3g,Kuzuha,2018/03/08,NIJISANJI,409803.35350756533
フブキCh。白上フブキ,2090000,374337817,1927,UCdn5BQ06XqgXoAxIhbqw5Rg,Shirakami Fubuki,2018/06/01,hololive,194259.37571354437
壱百満天原サロメ / Hyakumantenbara Salome,1740000,133497173,241,UCgIfLpQvelloDi8I0Ycbwpg,Hyakumantenbara Salome,2022/05/24,NIJISANJI,553930.1784232365
Gawr Gura Ch. hololive-EN,4300000,338639500,463,UCoSrY_IQQVpmIRZ9Xf-y93g,Gawr Gura,2020/09/13,hololive,731402.807775378
Nyanners,1440000,176963391,338,UCO5Jvsc_sKuZi3MhnJxrlzQ,Nyatasha Nyanners,2020/07/17,VShojo,523560.32840236684
Nakiri Ayame Ch. 百鬼あやめ,1390000,101687031,269,UC7fk0CB07ly8oSl0aqKkqFg,Nakiri Ayame,2018/09/03,hololive,378018.7026022305
Matsuri Channel 夏色まつり,1340000,143096442,1008,UCQ0UDLQCjY0rmuxCDE38FGg,Natsuiro Matsuri,2018/06/01,hololive,141960.75595238095
Miko Ch. さくらみこ,1720000,315177474,1072,UC-hM6YJuNYVAmUWxeIr9FeA,Sakura Miko,2018/08/01,hololive,294008.83768656716
filian,1710000,560052903,546,UCvjNdLLy5sinqD92Axk8w-g,filian,2021/07/21,Independent,1025737.9175824176
Moona Hoshinova hololive-ID,1290000,92504044,673,UCP0BspO_AMEe3aQqqpo89Dg,Moona Hoshinova,2020/04/11,hololive,137450.2882615156
Polka Ch. 尾丸ポルカ,1080000,169962762,938,UCK9V2B22uJYu3N7eR_BT9QA,Omaru Polka,2020/08/16,hololive,181196.97441364606
Choco Ch. 癒月ちょこ,954000,57837668,615,UC1suqwovbL1kzsoaZgFZLKg,Yuzuki Choco,2018/09/05,hololive,94044.98861788618
Subaru Ch. 大空スバル,1470000,244424347,950,UCvzGlP9oQwU--Y0r9id_jnA,Oozora Subaru,2018/09/16,hololive,257288.78631578948
Laplus ch. ラプラス・ダークネス - holoX -,932000,106262657,326,UCENwRMx5Yh42zWpzURebzTw,La+ Darknesss,2021/11/26,hololive,325959.0705521472
Ninomae Ina'nis Ch. hololive-EN,1510000,120114386,525,UCMwGHR0BTZuLsmjY_NT5Pwg,Ninomae Ina’nis,2020/09/13,hololive,228789.30666666667
Kanae Channel,1150000,387802500,2903,UCspv01oxUFf_MTSipURRhkA,Kanae,2018/05/02,NIJISANJI,133586.80675163624
Nene Ch.桃鈴ねね,1040000,105660401,719,UCAWSyEs_Io8MtpY3m-zqILA,Momosuzu Nene,2020/08/13,hololive,146954.66063977746
kson ONAIR,1250000,71255348,754,UC9ruVYPv7yJmV0Rh0NKA-Lw,Kson,2016/05/01,VShojo,94503.11405835544
Mori Calliope Ch. hololive-EN,2210000,427089173,703,UCL_qhgtOy0dy1Agp8vkySQg,Mori Calliope,2020/09/12,hololive,607523.7169274538
Aqua Ch. 湊あくあ,1770000,278601383,545,UC1opHUrw8rvnsadT-iGp7Cg,Minato Aqua,2018/08/08,hololive,511195.1981651376
Chloe ch. 沙花叉クロヱ - holoX -,1020000,85336863,340,UCIBY1ollUsauvVi4hW4cumw,Sakamata Chloe,2021/11/29,hololive,250990.77352941176
Botan Ch.獅白ぼたん,1310000,167895792,800,UCUKD-uaobj9jiqB-VXt71mA,Shishiro Botan,2020/08/14,hololive,209869.74
